CC_ID	OS(MM)	OS(HS)	OS(DM)
467	0.166667	0.5	0.5
468	0	0.166667	0.166667
469	0.833333	0.833333	1
470	0.333333	0.666667	0.666667
471	0.666667	0.5	0.833333
472	0.166667	0.666667	0.333333
473	0	0.166667	0.333333
474	0.833333	0.833333	0.666667
475	0.166667	0.5	0.5
476	0	0.5	0.666667
477	0.166667	0.833333	1
478	0.166667	0.666667	0.833333
479	0.166667	0.166667	0
480	0.833333	0.5	0.333333
481	0.333333	0.5	0.166667
482	0	0.6	0.6
483	0.8	0.6	0.4
484	0.2	0.6	0.4
485	1	0.6	0.4
486	0	0.4	0.4
487	0	0.6	0.2
488	0.4	0.6	0.2
489	1	0.4	0.6
490	1	0.2	0.6
491	0.2	0.6	0.8
492	0	0.8	0.4
493	0	0.2	0.4
494	0.2	0.4	0.4
495	0.8	0.8	0.2
496	0.2	0.6	0.6
497	0.6	0	0.6
498	0.4	0.6	0.2
499	0.4	0.4	0.2
500	0	0	0.2
501	0.2	0.6	0.8
502	0.4	0.8	0.4
503	0.2	0.6	0.2
504	0.2	0.2	0.2
505	0.4	0.8	0.8
506	0	0.2	0.6
507	0.2	0.2	0.6
508	0.2	0.6	0.2
509	0.2	0.2	0.6
510	0.2	0.2	0.8
511	0.2	0.6	1
512	0.2	0.6	0.8
513	0	0.8	0.4
514	0.4	1	0.8
515	0.5	0.5	0.5
516	0.25	0.5	0.25
517	0.25	0.5	0.5
518	0	0.25	0.5
519	0.25	0.75	0
520	0	0	0
521	0	0.5	0.75
522	0	0.5	0.25
523	0.25	0.25	0.25
524	0.25	0.25	0.25
525	0	0.25	0.75
526	0	0	0
527	0	0.25	0
528	0	0.5	0
529	0.25	0.75	0.75
530	0.75	0.75	0.75
531	0.25	0.5	0
532	0.25	0.5	0.25
533	0	0.25	0.75
534	0.75	0.75	0.25
535	0	0.75	0.25
536	0.75	0	0.75
537	0.25	0.5	0.25
538	0	0.666667	0.666667
539	0	0	0.333333
540	0	0	0.333333
541	0	0	0.666667
542	0	0	0
543	0.333333	0.666667	0.333333
544	0.333333	0.666667	1
545	0.333333	0.333333	0.333333
546	0.333333	0.666667	1
547	0	0	0.333333
548	0	1	0
549	0.333333	1	0
550	0	0.333333	0.333333
551	0.333333	0.333333	0.333333
552	0	0	1
553	0	0.666667	0.333333
554	0	0	0.666667
555	0.333333	0.666667	0.333333
556	0.333333	0.333333	0.333333
557	0	0	1
558	0.333333	0.333333	0.666667
559	0.333333	0.333333	0.333333
