P08575	P27487
P19793	P49869
P19793	P49870
P18074	P19447
P19447	P32780
P19447	Q13888
P18074	P32780
P18074	Q13888
P18074	Q13889
Q13888	Q13889
P32780	Q13888
P19447	P28715
P28715	P32780
P18074	P28715
P28715	Q13888
Q03468	Q13216
Q13216	Q13888
P20226	Q16533
P20226	Q13487
P02766	P05067
P02675	P27797
P12830	P28827
P19138	P67870
P26006	P30409
P05556	P30409
P30409	Q99075
P62993	Q28685
P05231	P40189
P05231	P08887
P01579	P15260
P06400	P17480
P22897	Q01694
Q16531	Q7M022
P07948	P43405
P19174	P43405
P19174	Q00839
P05106	P08514
P15829	P53618
P35221	P35222
P12830	P35222
P10809	P15104
P07900	P35869
P04150	P07900
P00488	P04792
P01589	P14784
P14784	P60568
P31785	P60568
P34932	Q04864
P34932	Q04206
P25963	P34932
P07269	Q00403
P07269	P29084
P07270	P20226
P07270	Q00403
P07270	P29084
P15407	P22415
P19388	Q05499
Q00403	Q05499
P19388	Q00403
P09874	P15923
P15923	P19338
P01033	P03956
P04492	Q13323
P10415	Q13323
P03243	P04637
P04489	P04637
P63279	Q06609
P04637	P63279
P17181	P48551
P51617	Q61730
P43351	P63279
P07900	P11802
P11802	Q16543
P07900	P09769
P06239	P07900
P07900	Q15185
P07900	P10809
P04049	P11500
P07900	P12931
Q00526	Q16667
P24941	Q16667
P06213	Q06124
P05783	P15924
P01563	P17181
P62881	P63211
P16520	P30671
P10809	P25325
P04492	Q07812
P06400	Q07161
P15924	Q9D646
P19784	P67870
P02538	P15924
P01100	P20226
P17535	P42227
P09619	P42229
P50153	P62873
P28715	Q03468
P19838	P34932
P04637	Q13625
P08069	Q06124
P07948	Q03405
P14784	P31785
P09769	Q03405
P31785	P52333
P06493	P24864
P05109	P06702
P50539	P61244
P10276	P19793
P19793	Q07869
P19793	Q60641
P19793	Q60644
P23572	P61024
P23573	P61024
P06493	P61024
P24941	P61024
P61024	Q00526
P00546	P61024
P20248	P38936
P24385	P38936
P24864	P38936
P11137	P13861
P13861	P24588
P36873	P41236
P08129	Q15435
P36873	Q28147
P05412	P49841
P05412	P28482
P05412	P45984
P05412	P53779
P05412	P18848
P05412	P18847
P01100	P18848
P04049	P30304
P04049	P30305
P01112	P30304
P01112	P30305
P04049	Q02750
P14635	P30304
P06493	P14635
P02568	P07737
P00533	P29353
P35568	P62993
P27986	P35568
P09619	P27986
P09619	P20936
P09619	P19174
P26368	Q01081
P01023	P05067
P05067	P22303
P02649	P05067
P23458	P62993
P16070	P21926
P18827	P21926
P02748	P07357
P27635	P49768
P21333	P49768
P49768	Q9UQB3
Q04637	Q86504
P61244	Q14901
P12004	P38936
P13861	Q12802
P15407	P18848
P07737	P41832
P09619	P62993
P14784	P23458
P05412	P45983
P01112	P45983
P06493	P20248
P50539	Q14901
P26368	Q07955
P06396	P29751
